101,Nishita,60000,12000,6000,78000,7800
102,Aditya,72549,14509.8,7254.9,94313.7,9431.37
103,Vishakha,80214,16042.8,8021.4,104278,10427.8
104,Chhavi,65482,13096.4,6548.2,85126.6,8512.66
105,Navya,52413,10482.6,5241.3,68136.9,6813.69
106,Alok,65789,13157.8,6578.9,85525.7,8552.57
107,Aman,56870,11374,5687,73931,7393.1
108,Abhishek,54100,10820,5410,70330,7033
109,Arnav,35000,7000,3500,45500,4550
110,Shreya,45000,9000,4500,58500,5850
111,Shruti,40000,8000,4000,52000,5200
112,nikk,45000,9000,4500,58500,5850
